Player,Outcome,Kills,Deaths,+/-,Flag Captures,Flag Attempts,Score,Time Played,Damage Dealt,Damage Taken,DR,DKR,DDF,Laser DD,Laser DT,Missile DD,Missile DT,Grenade DD,Grenade DT,Bouncy DD,Bouncy DT,Rating
muahaha,0.485059068797776,14.6038915913829,19.5434329395413,-4.93954134815844,0.415566365531619,1.58443363446838,1.61153578874218,20.8853370396108,4254.11952744962,5231.69770674079,0.822225329915059,315.571230020848,252.319666435024,2570.08061153579,3340.33217512161,401.823488533704,343.435719249479,433.457261987491,456.136205698402,848.758165392634,1091.7936066713,1594
nip,0.533947065592635,15.301495972382,18.4441887226697,-3.14269275028769,0.631760644418872,2.22324510932106,1.84119677790564,123412.279631761,4339.28998849252,5042.79286536249,0.872793111962976,305.108170310702,239.487917146145,2599.22439585731,3190.05983889528,289.90333716916,252.306098964327,446.651323360184,527.254315304948,1003.51093210587,1073.17261219793,1958
nizem,0.484094052558783,17.11387736284,16.8626094974643,0.251267865375749,0.75334255417243,1.59105578607653,1.6675887505763,21.2097740894421,4803.70401106501,4782.18026740433,1.02363639982139,297.902259105579,270.140156754265,3151.15076071923,2904.46934071,187.374827109267,252.845550945136,436.048870447211,513.177501152605,1029.1295527893,1111.68787459659,1932
norml,0.476750400855158,12.7210048102619,17.9909139497595,-5.2699091394976,0.396256684491979,1.61604278074866,1.61624799572421,20.9535008017103,3641.3153393907,4788.24478888295,0.773773213698021,311.562800641368,233.407268840192,2233.80171031534,3102.72955638696,198.540887226082,357.520577231427,363.853554249065,359.978086584714,845.119187600214,968.01656867985,479
Oroshi,0.279069767441861,14.4651162790698,15.5348837209302,-1.06976744186047,0.302325581395349,1.11627906976744,1.44186046511628,19.1860465116279,3756.67441860465,4348.46511627907,0.87696418709024,274.186046511628,217.767441860465,2622.83720930233,2744.46511627907,111.488372093023,231.255813953488,299.790697674419,411.697674418605,722.558139534884,961.046511627907,1766
otacon,0.397849462365591,15.0376344086022,18.9784946236559,-3.94086021505376,0.56989247311828,1.58064516129032,1.51612903225806,144093.150537634,4255.59677419355,5136.36559139785,0.838650017195607,301.209677419355,278.408602150538,2714.67741935484,3322.39247311828,158.935483870968,306.849462365591,419.612903225806,470.569892473118,962.370967741935,1036.55376344086,1421
pacifist,0.540880503144654,15.104821802935,17.1153039832285,-2.0104821802935,0.471698113207547,1.86582809224319,1.70440251572327,20.5974842767296,4024.50524109015,4757.18658280922,0.859566123398672,283.264150943396,260.194968553459,2511.48846960168,3010.05660377358,210.469601677149,296.618448637317,434.163522012579,400.404612159329,868.383647798742,1050.10691823899,2091
paz,0.508760951188986,17.2484355444305,15.6858573216521,1.56257822277847,0.688360450563204,2.90112640801001,1.80663329161452,16790.3279098874,4904.45369211514,4522.2183979975,1.1098278914672,306.284105131414,289.310387984981,3091.22465581977,2756.95619524405,247.446808510638,214.524405506884,494.606382978723,511.597622027534,1071.17584480601,1039.14017521902,3057
pcklm,0.511756569847856,15.3056708160443,16.1396957123098,-0.83402489626556,0.496542185338866,1.70539419087137,1.77178423236515,36710.5864453665,4255.72475795297,4488.63070539419,0.969278251421256,295.791147994468,254.107883817427,2508.82019363762,2749.59751037344,288.499308437068,246.753803596127,436.134163208852,473.713692946058,1022.27109266943,1018.56569847856,1748
Pudified,0.630630630630631,17.1981981981982,15.2882882882883,1.90990990990991,0.648648648648649,2.01801801801802,2.07207207207207,21.1081081081081,4325.59459459459,4387.57657657658,1.02579507891408,264.684684684685,235.063063063063,2375.04504504504,2818.72972972973,301.297297297297,270.063063063063,540.882882882883,324.135135135135,1108.36936936937,974.648648648649,1712
race,0.506245890861275,17.1314924391847,17.6476002629849,-0.516107823800132,0.467455621301775,1.8172255095332,1.61735700197239,21.042735042735,4403.05588428665,4941.56015779093,0.904831015777235,271.499013806706,295.812623274162,2661.84155161078,3234.46877054569,324.612097304405,278.508218277449,428.045364891519,391.272189349112,988.556870479948,1037.31097961867,1547
Ridden,0.480392156862745,18.1862745098039,18.0906862745098,0.095588235294118,0.625615763546798,2.3743842364532,1.79411764705882,65037.0833333333,5180.90441176471,5121.63970588235,1.02658345407572,303.156862745098,327.955882352941,3303.10539215686,3213.90196078431,428.747549019608,310.289215686275,450.21568627451,539.031862745098,998.835784313726,1058.41666666667,2529
risky,0.519404332129964,17.1629061371841,15.3826714801444,1.78023465703971,0.566591422121896,2.36930022573363,1.68185920577617,20.913357400722,5001.3524368231,4444.2333032491,1.15269590531448,312.544223826715,313.435018050542,3223.8452166065,2705.88763537906,134.061823104693,264.889440433213,505.911101083033,447.665162454874,1137.53429602888,1025.79106498195,3193
ross,0.537974683544304,16.4240506329114,15.7974683544304,0.626582278481013,0.582278481012658,2.44936708860759,1.55696202531646,21.2405063291139,4587.05696202532,4501.61392405063,1.03560093035238,298.898734177215,319.696202531646,2637.94303797468,2729.50632911392,284.987341772152,262.012658227848,538.645569620253,475.044303797468,1125.48101265823,1035.05063291139,2526
sam,0.499288762446657,17.325746799431,15.9189189189189,1.40682788051209,0.523470839260313,1.59886201991465,1.67994310099573,21.0042674253201,4556.65576102418,4541.74253200569,1.02747780898763,277.807965860597,299.321479374111,2806.92318634424,2724.53627311522,284.092460881935,233.24893314367,462.701280227596,519.307254623044,1002.93883357041,1064.65007112376,2161
scottomo,0.525525525525526,15.3523523523524,14.6186186186186,0.733733733733734,0.592592592592593,2.13013013013013,1.73373373373373,26855.2022022022,4351.98598598599,4206.98198198198,1.057593296702,302.873873873874,257.035035035035,2568.97197197197,2520.05005005005,247.123123123123,184.574574574575,484.452452452453,492.711711711712,1051.43843843844,1009.64564564565,2659
simonthezealot,0.490909090909091,16.9272727272727,16.1636363636364,0.763636363636364,0.309090909090909,1.87272727272727,1.70909090909091,21.4363636363636,4896.61818181818,4617.4,1.07377000915814,309.527272727273,325.036363636364,3021.25454545455,2689.98181818182,195.345454545455,270.836363636364,553.272727272727,556.4,1126.74545454545,1100.18181818182,2918
skrilla,0.50278293135436,16.7031539888683,15.9981447124304,0.705009276437848,0.578849721706865,2.23562152133581,1.68645640074212,21.39146567718,4635.71428571429,4582.96289424861,1.03172437811513,299.024118738404,268.582560296846,2764.05936920223,2832.94619666048,296.339517625232,249.027829313544,485.269016697588,464.17439703154,1090.04638218924,1036.81447124304,2334
