,Game ID,Player,Outcome,Team,Kills,Deaths,+/-,Flag Captures,Flag Attempts,Switch,Elected,Assassinations,Score,Time Played,Death Chart,Damage Dealt,Damage Taken,DR,DKR,DDF,Laser DD,Laser DT,Missile DD,Missile DT,Grenade DD,Grenade DT,Bouncy DD,Bouncy DT,Killed Most - Players,Killed Most - Values,Killed Most By - Players,Killed Most By - Values,Damaged Most - Players,Damaged Most - Values,Damaged Most By - Players,Damaged Most By - Values
1770,211,Vendetta,0,2,48,41,7,2.0,7.0,,,,5,36,http://cta.critical-hq.net/chart.php?player=Vendetta&matchID=211,14812,11956,1.2388758782201406,309,1901,8183,6721,1023,702,2087,1255,3519,3278,Criticalmatt southpaw Obama2012 USA ergophonics pendulum,12 10 9 8 6 3,pendulum Obama2012 ergophonics USA Criticalmatt southpaw,11 9 7 7 4 3,southpaw Criticalmatt USA Obama2012 pendulum ergophonics,2838 2643 2591 2465 2358 1917,pendulum southpaw ergophonics USA Obama2012 Criticalmatt,2980 2298 2199 1643 1529 1307
1771,211,20LbGenitals,0,2,36,50,-14,1.0,6.0,,,,5,38,http://cta.critical-hq.net/chart.php?player=20LbGenitals&matchID=211,13705,13190,1.0390447308567097,381,1293,8921,8715,510,680,1227,1134,3047,2661,Obama2012 USA southpaw pendulum ergophonics Criticalmatt,11 8 5 4 4 4,USA ergophonics Criticalmatt southpaw pendulum Obama2012,12 10 10 7 6 5,Criticalmatt Obama2012 USA pendulum southpaw ergophonics,2777 2666 2260 2210 2101 1691,USA pendulum ergophonics southpaw Criticalmatt Obama2012,2573 2463 2284 2174 1886 1810
1772,211,Helwor,0,2,33,61,-28,3.0,13.0,,,,5,34,http://cta.critical-hq.net/chart.php?player=Helwor&matchID=211,10750,15053,0.7141433601275493,326,966,7167,8814,403,562,1023,2082,2157,3595,ergophonics Obama2012 southpaw pendulum Criticalmatt USA,8 8 5 5 4 3,pendulum southpaw Obama2012 Criticalmatt ergophonics USA,14 12 11 9 8 7,southpaw Obama2012 ergophonics pendulum Criticalmatt USA,2362 2193 1939 1602 1559 1095,southpaw ergophonics pendulum Obama2012 USA Criticalmatt,3751 2725 2702 2188 1859 1828
1773,211,Anenemoos,0,2,28,37,-9,2.0,4.0,,,,5,34,http://cta.critical-hq.net/chart.php?player=Anenemoos&matchID=211,7826,9774,0.800695723347657,280,744,4013,5788,102,332,1368,1034,2343,2620,Criticalmatt ergophonics Obama2012 southpaw pendulum USA,7 6 5 4 4 2,Criticalmatt southpaw pendulum ergophonics USA,10 10 9 4 4,ergophonics Criticalmatt USA southpaw Obama2012 pendulum,1611 1587 1327 1253 1123 925,ergophonics southpaw pendulum Criticalmatt USA Obama2012,1972 1972 1968 1808 1511 543
1774,212,Obama2012,1,1,62,49,13,1.0,1.0,,,,4,28,http://cta.critical-hq.net/chart.php?player=Obama2012&matchID=212,14029,13322,1.0530701095931543,226,1059,7884,8434,1465,590,1359,1619,3321,2679,cyro USA southpaw ergophonics Anenemoos Zinks starz,17 15 10 8 6 5 1,Zinks USA cyro southpaw ergophonics starz,15 9 8 7 7 3,cyro USA southpaw ergophonics Zinks Anenemoos starz,2976 2631 2543 2138 1930 1608 203,Zinks southpaw ergophonics cyro USA Anenemoos starz,3084 2505 2372 2200 1992 953 216
1775,212,yummierdog117,1,1,58,44,14,3.0,2.0,,,,4,30,http://cta.critical-hq.net/chart.php?player=yummierdog117&matchID=212,12374,12676,0.9761754496686652,213,1136,7840,7207,180,590,1314,1576,3040,3303,cyro Zinks USA Anenemoos ergophonics southpaw starz,10 10 10 9 9 8 2,cyro ergophonics Zinks southpaw USA Anenemoos,14 8 8 5 5 4,USA ergophonics Anenemoos cyro Zinks southpaw starz,2591 2267 2028 1785 1754 1639 310,cyro ergophonics Zinks southpaw Anenemoos USA starz,2468 2274 2112 2104 1703 1634 381
1776,212,Vendetta,1,1,53,47,6,3.0,5.0,,,,4,30,http://cta.critical-hq.net/chart.php?player=Vendetta&matchID=212,12986,12983,1.000231071401063,245,720,7400,9035,1056,510,1431,1073,3099,2365,ergophonics Anenemoos USA cyro Zinks southpaw starz,13 10 9 8 7 5 1,southpaw Zinks cyro ergophonics Anenemoos USA starz,11 9 9 8 5 3 2,USA cyro Anenemoos ergophonics southpaw Zinks starz,2669 2248 2153 1991 1930 1654 341,ergophonics southpaw Zinks cyro USA Anenemoos starz,3326 2323 2147 2043 1588 1100 456
1777,212,lowkey,1,1,49,52,-3,1.0,6.0,,,,4,28,http://cta.critical-hq.net/chart.php?player=lowkey&matchID=212,14073,13774,1.0217075649774938,287,927,8220,9579,918,622,1478,1106,3457,2467,southpaw Anenemoos cyro ergophonics USA Zinks starz,14 12 6 6 5 4 2,southpaw Zinks USA cyro ergophonics Anenemoos,12 11 8 8 7 6,southpaw cyro ergophonics Zinks Anenemoos USA starz,3076 2823 2483 1913 1711 1655 412,ergophonics Zinks cyro southpaw USA Anenemoos starz,2999 2645 2419 2346 1735 1414 216
1778,212,20LbGenitals,1,1,40,56,-16,1.0,6.0,,,,4,32,http://cta.critical-hq.net/chart.php?player=20LbGenitals&matchID=212,13054,14160,0.9218926553672316,326,834,8790,8998,714,538,988,1652,2562,2972,ergophonics southpaw USA cyro Anenemoos Zinks starz,10 8 8 6 4 3 1,cyro southpaw USA Zinks Anenemoos ergophonics,13 12 10 10 6 5,southpaw ergophonics Anenemoos USA cyro Zinks starz,2620 2390 2339 2121 1632 1590 362,southpaw Anenemoos ergophonics cyro USA Zinks starz,2622 2438 2400 2390 2142 1829 339
1779,212,Helwor,1,1,40,57,-17,2.0,4.0,,,,4,28,http://cta.critical-hq.net/chart.php?player=Helwor&matchID=212,13092,14804,0.8843555795730883,327,1085,8416,9803,842,204,986,1733,2848,3064,Anenemoos southpaw ergophonics USA cyro Zinks starz,8 7 7 6 5 5 2,cyro Zinks USA southpaw Anenemoos ergophonics,15 14 10 8 6 4,cyro ergophonics Anenemoos southpaw USA Zinks starz,2682 2481 2413 2200 1898 1231 187,Zinks cyro southpaw ergophonics USA Anenemoos starz,2967 2809 2795 2723 1760 1714 36
