Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
2,High,22071,Normal,Normal,CTA-Joy,Normal,2019-08-19 01:39:00,8,paz
2,High,22072,Normal,Normal,CTA-Joy,Normal,2019-08-19 02:13:00,8,paz
2,High,22073,Normal,Normal,CTA-Joy,Normal,2019-08-19 21:54:00,8,Venture
2,High,22074,Normal,Normal,CTA-Joy,Normal,2019-08-19 22:16:00,10,Venture
2,Very High,22075,High,Normal,BaitOrSwitch2,Normal,2019-08-19 22:40:00,12,Venture
2,Very High,22076,High,High,StrongholdNODHT,Normal,2019-08-19 23:05:00,12,Lunu
2,High,22077,Normal,Normal,CTA-Joy,Normal,2019-08-19 23:26:00,8,Lunu
2,High,22078,Normal,Normal,CTA-Joy,Normal,2019-08-19 23:55:00,8,Venture
2,High,22079,Normal,Normal,CTA-Joy,Normal,2019-08-20 19:52:00,6,ElAsesino
2,High,22080,Normal,Normal,CTA-Joy,Normal,2019-08-20 20:21:00,6,Venture
2,High,22081,Normal,Normal,CTA-Joy,Normal,2019-08-20 20:48:00,6,Venture
2,High,22082,Normal,Normal,CTA-Joy,Normal,2019-08-20 21:16:00,8,Venture
2,High,22083,Normal,Normal,CTA-Joy,Normal,2019-08-20 21:46:00,8,Venture
2,High,22084,Normal,Normal,CTA-Joy,Normal,2019-08-20 22:14:00,8,Atomos
2,High,22085,Normal,Normal,CTA-Joy,Normal,2019-08-20 22:43:00,10,Atomos
,,22086,,,,,,,
2,High,22087,Normal,Normal,CTA-Joy,Normal,2019-08-20 23:09:00,10,tela
,,22088,,,,,,,
,,22089,,,,,,,
2,High,22090,Normal,Normal,CTA-Joy,Normal,2019-08-21 00:07:00,8,ElAsesino
,,22091,,,,,,,
2,High,22092,Normal,Normal,CTA-Joy,Normal,2019-08-21 00:41:00,6,nizem
2,High,22093,Normal,Normal,CTA-Joy,Normal,2019-08-21 20:03:00,8,paz
2,High,22094,Normal,Normal,CTA-Joy,Normal,2019-08-21 20:31:00,8,paz
2,High,22095,Normal,Normal,CTA-Joy,Normal,2019-08-21 21:01:00,8,paz
2,High,22096,Normal,Normal,CTA-Joy,Normal,2019-08-21 21:33:00,8,paz
2,High,22097,Normal,Normal,CTA-Joy,Normal,2019-08-21 21:55:00,10,Venture
2,High,22098,Normal,Normal,CTA-Joy,Normal,2019-08-21 22:22:00,10,paz
2,High,22099,Normal,Normal,CTA-Joy,Normal,2019-08-21 22:46:00,8,paz
2,High,22100,Normal,Normal,CTA-Joy,Normal,2019-08-21 23:20:00,10,paz
2,High,22101,Normal,Normal,CTA-Joy,Normal,2019-08-21 23:47:00,10,paz
,,22102,,,,,,,
2,High,22103,Normal,Normal,CTA-Joy,Normal,2019-08-22 00:10:00,8,Lunu
2,High,22104,Normal,Normal,CTA-Joy,Normal,2019-08-22 00:38:00,10,tela
2,High,22105,Normal,Normal,CTA-Joy,Normal,2019-08-22 01:09:00,10,tela
2,High,22106,Normal,Normal,CTA-Joy,Normal,2019-08-22 01:33:00,10,paz
2,High,22107,Normal,Normal,CTA-Joy,Normal,2019-08-22 01:58:00,10,paz
