Player,Outcome,Kills,Deaths,+/-,Flag Captures,Flag Attempts,Score,Time Played,Damage Dealt,Damage Taken,DR,DKR,DDF,Laser DD,Laser DT,Missile DD,Missile DT,Grenade DD,Grenade DT,Bouncy DD,Bouncy DT,Rating
20,0.32894736842105265,13.802631578947368,19.263157894736842,-5.4605263157894735,0.23684210526315788,1.0657894736842106,1.105263157894737,20.407894736842106,3817.934210526316,5123.618421052632,0.7419203749500833,312.14473684210526,258.0657894736842,2440.8947368421054,3340.75,280.38157894736844,338.4342105263158,338.05263157894734,419.55263157894734,758.6052631578947,1024.8815789473683,1790.0
Akma,0.5212765957446809,17.22340425531915,15.69813829787234,1.5252659574468086,0.8324468085106383,3.1429521276595747,1.930186170212766,35673.64960106383,5407.943484042553,4547.798537234043,1.2299716976261965,333.5093085106383,349.0279255319149,3307.2925531914893,2833.279255319149,367.7027925531915,236.83311170212767,576.8537234042553,456.31449468085106,1156.094414893617,1021.3716755319149,3781.0
Ant1d0t3,0.5056179775280899,12.808988764044944,18.123595505617978,-5.314606741573034,0.6067415730337079,1.5842696629213484,2.157303370786517,20.415730337078653,3714.7191011235955,4891.134831460674,0.7761147520024152,309.97752808988764,217.91011235955057,2324.112359550562,3256.8651685393256,246.6067415730337,315.8876404494382,381.7415730337079,404.6629213483146,762.2584269662922,913.7191011235955,636.0
Astrok,0.5246166263115416,17.488027979553404,15.461393596986817,2.026634382566586,0.607210115684692,2.267150928167877,1.7613666935700834,20.90987355394135,5489.123755716976,4430.5550174872205,1.2808587364099715,333.9443099273608,359.5353779930051,3377.880548829701,2707.2343287597523,365.85337637880014,200.49609900457358,586.6222760290557,527.5200430454668,1158.7675544794188,995.304546677428,3768.0
BadGuy,0.5056433408577878,17.939051918735892,15.525959367945823,2.4130925507900676,0.4898419864559819,1.8103837471783295,1.6659142212189617,20.82392776523702,4712.106094808127,4498.426636568849,1.0722274131467486,277.8803611738149,285.06772009029345,2941.742663656885,2760.8532731376977,290.372460496614,250.97968397291197,500.8081264108352,464.3634311512415,979.1828442437924,1022.2302483069977,2471.0
Benevolence,0.44933920704845814,16.158590308370044,16.01762114537445,0.14096916299559473,0.5242290748898678,2.0969162995594712,1.7621145374449338,21.303964757709252,4828.8766519823785,4573.022026431718,1.0715151683438793,317.40088105726875,307.9735682819383,2784.1762114537446,2885.2555066079294,395.5594713656388,179.14537444933922,555.2995594713657,446.784140969163,1093.84140969163,1061.8370044052863,2806.0
Bile,0.5118279569892473,16.288172043010753,15.873118279569892,0.4150537634408602,0.6344086021505376,2.490322580645161,1.7161290322580645,21.096774193548388,4581.0,4527.4,1.0293047915485292,298.3827956989247,295.4602150537634,2648.7698924731185,2895.3075268817206,366.06666666666666,238.18709677419355,515.9268817204301,402.13763440860214,1050.236559139785,991.7677419354839,2099.0
Bone,0.5197889182058048,19.100263852242744,14.598944591029024,4.5013192612137205,0.5567282321899736,1.8113456464379947,1.7836411609498681,20.91160949868074,5154.1358839050135,4356.440633245383,1.2075203991326167,285.67282321899734,300.90369393139844,3216.014511873351,2669.734828496042,107.27044854881267,215.74934036939314,590.6068601583113,443.94986807387863,1240.2440633245383,1027.0065963060686,3202.0
Cartman,0.5057612159843099,17.65996567786222,15.827408678597696,1.8325569992645256,0.7346738597351643,3.2211868563021087,1.6641333660210835,20.42608482471194,4527.813189507232,4591.601372885511,1.0076392726223604,273.3917626869331,298.0318705565089,2592.8440794312332,2866.505516057857,459.97082618288795,251.52586418239764,469.5128708016671,457.5513606276048,1005.485413091444,1016.0186320176514,2690.0
Child,0.5174825174825175,18.055944055944057,14.874125874125873,3.1818181818181817,0.3916083916083916,1.167832167832168,1.5454545454545454,21.79020979020979,4503.223776223776,4333.167832167832,1.0679410044759612,262.5874125874126,225.95804195804195,2574.86013986014,2674.237762237762,368.4895104895105,183.67132867132867,522.916083916084,451.6923076923077,1036.958041958042,1023.5664335664336,1669.0
Cutlass,0.48729792147806006,16.392609699769054,18.140877598152425,-1.748267898383372,0.5509259259259259,2.0416666666666665,1.5866050808314087,21.099307159353348,4241.060046189376,4990.281755196304,0.8653758428365264,275.6374133949192,280.3025404157044,2704.5912240184757,3076.5704387990763,185.1986143187067,336.74133949191685,402.8799076212471,503.27251732101615,948.3903002309469,1073.6974595842955,1405.0
Defiance,0.5088757396449705,18.03353057199211,13.402366863905325,4.631163708086785,0.5187376725838264,1.9684418145956608,1.6370808678500985,21.504930966469427,5023.5207100591715,4070.905325443787,1.2668548863471807,294.72978303747533,309.5483234714004,2981.7790927021697,2493.9526627218934,294.7317554240631,152.11242603550295,577.1360946745563,425.67455621301775,1169.8737672583827,999.1656804733727,2820.0
DoubleTime,0.5126353790613718,15.936823104693142,16.545126353790614,-0.6083032490974729,0.5469314079422383,2.1389891696750905,1.8032490974729243,20.832129963898918,4520.806859205776,4662.2870036101085,0.9969602880821851,307.028880866426,305.0613718411552,2830.3104693140795,2804.0794223826715,237.30324909747293,257.89169675090255,461.93140794223825,520.1173285198556,991.2617328519856,1080.1985559566788,1643.0
Drue,0.5093632958801498,16.689138576779026,16.715355805243444,-0.026217228464419477,0.47191011235955055,2.2247191011235956,1.6404494382022472,21.471910112359552,5670.606741573034,4673.87265917603,1.2430876376948061,367.8426966292135,346.4269662921348,3442.602996254682,2688.760299625468,397.561797752809,235.7677902621723,554.0898876404494,591.7153558052435,1276.3520599250937,1157.629213483146,3599.0
Einhander,0.5813953488372093,19.093023255813954,16.186046511627907,2.9069767441860463,0.4186046511627907,1.7906976744186047,1.7209302325581395,19.72093023255814,4930.953488372093,4725.813953488372,1.0552532103279741,266.0,316.8837209302326,3147.8837209302324,2805.3023255813955,438.83720930232556,418.5813953488372,429.25581395348837,464.95348837209303,914.9767441860465,1036.9767441860465,2864.0
ElAsesino,0.5129716981132075,17.830385220125788,13.037735849056604,4.792649371069182,0.7505896226415094,2.9188286163522013,1.6039701257861636,10559.096501572327,5337.000393081761,3867.2144261006288,1.423259680464298,318.592177672956,291.45243710691824,3064.481918238994,2255.807389937107,225.00196540880503,164.54009433962264,675.1434748427673,569.5959119496855,1372.373034591195,877.2710298742138,4168.0
Endo,0.502495840266223,16.562396006655575,18.124792013311147,-1.562396006655574,0.5124792013311148,1.8618968386023294,1.7337770382695508,20.866888519134775,4855.873544093178,5042.1564059900165,0.977669752988384,315.99334442595676,282.7354409317804,3128.8136439267887,3250.4376039933445,215.4559068219634,269.36605657237936,486.7088186356073,443.2396006655574,1024.8951747088186,1079.1131447587354,2611.0
Eternity,0.5150115473441108,16.318706697459586,20.016166281755197,-3.697459584295612,0.36027713625866054,1.4133949191685913,1.879907621247113,21.14780600461894,4445.937644341801,5386.221709006928,0.8345251457643084,289.0461893764434,287.29561200923786,3099.2748267898382,3492.5889145496535,144.21939953810625,329.18706697459584,338.3002309468822,407.06466512702076,864.1431870669746,1157.3810623556583,1514.0
Faur,0.5055350553505535,18.58671586715867,11.468634686346864,7.118081180811808,0.3505535055350554,1.154981549815498,1.6051660516605166,21.383763837638377,4902.073800738008,3641.2546125461254,1.3901572078220545,288.36162361623616,288.2952029520295,2881.963099630996,2244.228782287823,121.24723247232473,115.7380073800738,633.7453874538745,353.64944649446494,1265.1180811808117,927.6383763837638,2599.0
Fordus,0.36923076923076925,21.307692307692307,14.476923076923077,6.8307692307692305,0.27692307692307694,1.2307692307692308,1.2923076923076924,21.46153846153846,5548.953846153846,4402.430769230769,1.289358193378099,272.81538461538463,332.73846153846154,3635.923076923077,2638.0461538461536,84.50769230769231,208.84615384615384,547.9384615384615,470.2153846153846,1280.5846153846153,1085.323076923077,2923.0
FreddyFox,0.49038461538461536,12.649038461538462,19.033653846153847,-6.384615384615385,0.6682692307692307,2.8173076923076925,1.6153846153846154,20.798076923076923,3393.201923076923,5025.9567307692305,0.6871239391988616,293.82211538461536,260.5192307692308,1830.5048076923076,3152.283653846154,319.85096153846155,387.1105769230769,421.85096153846155,382.8269230769231,820.9951923076923,1103.735576923077,1253.0
Fudorm,0.49591002044989774,17.155419222903884,17.577368779822766,-0.4219495569188821,0.4710293115201091,2.068847989093388,1.7304021813224266,27432.59884117246,5252.161895023858,4878.927062031356,1.0960149058208213,326.21165644171776,278.39195637355147,3367.785616905249,2926.714383094751,312.1192910702113,302.1383776414451,474.9631901840491,579.6192910702113,1097.293796864349,1070.4550102249489,2246.0
Genocide,0.4973821989528796,15.61780104712042,13.162303664921465,2.4554973821989527,0.5235602094240838,2.1780104712041886,1.7225130890052356,20.732984293193716,4299.340314136126,3882.523560209424,1.135842455247444,295.23560209424085,207.63350785340313,2532.2251308900522,2325.753926701571,173.55497382198953,147.84816753926702,494.14659685863876,457.27225130890054,1099.413612565445,951.6492146596859,2184.0
Goobs,0.49358386801099907,17.434922089825847,15.013748854262145,2.4211732355637032,0.3900091659028414,1.5692025664527955,1.5962419798350138,12304.791475710357,4781.218606782768,4329.286892758937,1.127643012464826,290.66956920256644,253.64252978918424,2803.8253895508706,2678.3212648945923,342.66315307057744,197.0352887259395,547.0921173235564,515.7121906507791,1087.6379468377636,938.2181484876261,2207.0
Gstatus,0.4326923076923077,13.60576923076923,20.16346153846154,-6.5576923076923075,0.41346153846153844,1.2307692307692308,1.7596153846153846,21.25,3855.8365384615386,5300.903846153846,0.7376203479341832,309.9519230769231,244.53846153846155,2507.375,3237.2884615384614,186.7596153846154,445.4519230769231,318.0576923076923,549.1346153846154,843.6442307692307,1069.0288461538462,245.0
Havok,0.6226415094339622,16.07547169811321,13.066037735849056,3.009433962264151,0.42452830188679247,1.2169811320754718,2.1792452830188678,20.349056603773583,4745.801886792453,3934.896226415094,1.2401554875458942,312.5377358490566,239.03773584905662,2743.7735849056603,2385.0754716981132,261.49056603773585,155.85849056603774,553.6509433962265,441.12264150943395,1186.8867924528302,952.8396226415094,2535.0
Hunter,0.5114942528735632,18.132183908045977,15.67816091954023,2.454022988505747,0.5574712643678161,1.6724137931034482,1.839080459770115,152472.1436781609,4750.64367816092,4606.5,1.0546926250436937,273.7298850574713,333.7413793103448,2742.551724137931,2909.4540229885056,371.9367816091954,220.95402298850576,570.2873563218391,511.41379310344826,1065.867816091954,964.6781609195402,2372.0
InSo,0.49110546378653114,15.193138500635325,18.789707750952985,-3.596569250317662,0.39097266369993644,1.4958677685950412,1.6715374841168995,34407.98221092757,4460.877382465057,5119.736975857688,0.8941704124781753,319.1829733163914,298.7992376111817,2991.266200762389,3297.356416772554,229.1168996188056,351.9066073697586,387.26683608640406,415.41296060991107,853.2274459974587,1055.0609911054637,1329.0
Jawn,0.5054347826086957,17.920289855072465,15.333333333333334,2.5869565217391304,0.5891238670694864,2.3154078549848944,1.6570048309178744,16213.894323671497,5112.54347826087,4451.082125603864,1.1787921676029,302.7783816425121,288.8828502415459,3151.0030193236717,2732.757850241546,291.0845410628019,208.3574879227053,569.1135265700483,471.6533816425121,1101.3423913043478,1038.3134057971015,3059.0
Jet,0.45614035087719296,15.426900584795321,20.28654970760234,-4.859649122807017,0.3508771929824561,1.4795321637426901,1.4210526315789473,20.514619883040936,4082.3976608187136,5453.397660818713,0.7584396828127942,288.2923976608187,271.80116959064327,2613.2865497076023,3575.87134502924,192.6140350877193,363.2573099415205,337.98830409356725,350.5263157894737,938.5087719298245,1163.7426900584796,1536.0
LogiTech,0.5043290043290043,18.673160173160174,17.937229437229437,0.7359307359307359,0.4004329004329004,1.6645021645021645,1.5692640692640694,20.88744588744589,4716.547619047619,5074.272727272727,0.945634341605158,266.82683982683983,288.538961038961,2792.3593073593074,3164.1753246753246,389.62554112554113,333.70346320346323,511.7640692640693,469.4069264069264,1022.7987012987013,1106.987012987013,2224.0
Lunu,0.448,18.218666666666667,19.026666666666667,-0.808,0.64,2.029333333333333,1.5546666666666666,20.85333333333333,5187.058666666667,5289.245333333333,0.9955807350092792,304.26933333333335,307.36,3320.4773333333333,3285.229333333333,321.296,301.528,488.1786666666667,544.8293333333334,1057.1066666666666,1157.6586666666667,2583.0
